SODIMM,Designator,FPGA,Signal,Direction
,PR20B,H15,SDRAM_A0,output
,PT60A,B13,SDRAM_A1,output
,PT56A,B12,SDRAM_A2,output
,PR23A,J16,SDRAM_A3,output
,PR23B,J15,SDRAM_A4,output
,PR44A,R12,SDRAM_A5,output
,PR23C,K16,SDRAM_A6,output
,PR41C,R13,SDRAM_A7,output
,PR44B,T13,SDRAM_A8,output
,PR23D,K15,SDRAM_A9,output
,PT65B,A13,SDRAM_A10,output
,PR41B,R14,SDRAM_A11,output
,PR41D,T14,SDRAM_A12,output
,PR14B,G15,SDRAM_BA0,output
,PT67A,B14,SDRAM_BA1,output
,PR38C,R15,SDRAM_CLK,output
,PR26A,L16,SDRAM_CKE,output
,PR2A,B16,SDRAM_RAS_n,output
,PR20B,G16,SDRAM_CAS_n,output
,PT67B,A15,SDRAM_WE_n,output
,PT65B,A14,SDRAM_CE_n,output
,PR14A,F16,SDRAM_DQ0,inout
,PR8B,E15,SDRAM_DQ1,inout
,PR11C,F15,SDRAM_DQ2,inout
,PR2D,D14,SDRAM_DQ3,inout
,PR11D,E16,SDRAM_DQ4,inout
,PR5B,C15,SDRAM_DQ5,inout
,PR8A,D16,SDRAM_DQ6,inout
,PR2B,B15,SDRAM_DQ7,inout
,PR35B,R16,SDRAM_DQ8,inout
,PR35A,P16,SDRAM_DQ9,inout
,PR32B,P15,SDRAM_DQ10,inout
,PR32A,N16,SDRAM_DQ11,inout
,PR35D,N14,SDRAM_DQ12,inout
,PR26C,M16,SDRAM_DQ13,inout
,PR26D,M15,SDRAM_DQ14,inout
,PR26B,L15,SDRAM_DQ15,inout
,PR5A,C16,SDRAM_DQM0,output
,PR38D,T15,SDRAM_DQM1,output
