Designator,FPGA,SODIMM
PL2A,B1,77
PL2B,B2,79
PL2C,C3,134
PL2D,D3,87
PL5A,C1,81
PL5C,E3,138
PL5B,C2,83
PL5D,F3,142
PL8A,D1,85
PL8C,F4,140
PL8B,E2,91
PL8D,F5,
PL11A,G5,
PL11C,F2,95
PL11B,G4,144
PL11D,E1,89
PL14A,F1,93
PL14C,G3,146
PL14B,G2,99
PL14D,H3,148
PL17A,H5,
PL17C,J4,150
PL17B,H4,
PL17D,J5,
PL20A,G1,97
PL20C,J3,152
PL20B,H2,101
PL20D,K3,156
PL23A,J1,103
PL23C,K1,111
PL23B,J2,109
PL23D,K2,113
PL26A,L1,115
PL26C,M1,119
PL26B,L2,117
PL26D,M2,121
PL29A,K4,154
PL29C,L4,
PL29B,K5,
PL29D,L5,
PL32A,N1,123
PL32C,L3,
PL32B,P2,129
PL32D,M3,
PL35A,P1,
PL35C,M4,
PL35B,R1,131
PL35D,N3,125
PL38A,N4,
PL38C,R2,133
PL38B,P3,
PL38D,T2,135
PL41A,P4,
PL41C,R4,141
PL41B,R3,137
PL41D,T3,139
PL44A,R5,145
PL44C,M5,
PL44B,T4,143
PL44D,N5,
PL47A,M6,
PL47B,N6,
PL47C,P6,
PL47D,P5,
PB4A,T6,149
PB6A,R7,153
PB4B,R6,147
PB6B,P7,151
PB9A,N7,
PB11A,T7,
PB9B,M7,
PB11B,T8,
PB13A,R8,155
PB15A,N8,
PB13B,P8,
PB15B,M8,
PB18A,M9,
CCLK,N9,
PR47D,P12,44
PR47C,P11,42
PR47B,N11,
PR47A,M11,
PR44D,N12,46
PR44B,T13,
PR44C,M12,54
PR44A,R12,
PR41D,T14,
PR41B,R14,
PR41C,R13,
PR41A,P13,48
PR38D,T15,
PR38B,P14,52
PR38C,R15,
PR38A,N13,50
PR35D,N14,
PR35B,R16,
PR35C,M13,58
PR35A,P16,
PR32D,M14,
PR32B,P15,
PR32C,L14,60
PR32A,N16,
PR29D,L12,
PR29B,K12,
PR29C,L13,62
PR29A,K13,66
PR26D,M15,
PR26B,L15,
PR26C,M16,
PR26A,L16,
PR23D,K15,
PR23B,J15,
PR23C,K16,
PR23A,J16,
PR20D,K14,64
PR20B,H15,
PR20C,J14,68
PR20A,G16,
PR17D,J12,
PR17B,H13,74
PR17C,J13,70
PR17A,H12,
PR14D,H14,72
PR14B,G15,
PR14C,G14,76
PR14A,F16,
PR11D,E16,
PR11B,G13,78
PR11C,F15,
PR11A,G12,
PR8D,F12,
PR8B,E15,
PR8C,F13,82
PR8A,D16,
PR5D,F14,80
PR5B,C15,
PR5C,E14,84
PR5A,C16,
PR2D,D14,
PR2C,C14,
PR2B,B15,
PR2A,B16,
PT67B,A15,
PT65B,A14,
PT67A,B14,
PT65A,A13,
PT62B,E13,86
PT60B,C13,
PT62A,D13,92
PT60A,B13,
PT58B,E12,88
PT56B,C12,
PT58A,D12,96
PT56A,B12,
PT53B,A12,
PT51B,E11,
PT53A,A11,
PT51A,D11,100
PT49B,C11,98
PT47B,E10,
PT49A,B11,
PT47A,D10,104
PT44B,C10,102
PT42B,A10,
PT44A,B10,
PT42A,A9,
PT40B,E9,
PT38B,C9,110
PT40A,D9,112
PT38A,B9,
PT35B,B8,49
PT33B,D8,116
PT35A,C8,114
PT33A,E8,
PT29B,A8,41
PT27B,B7,57
PT29A,A7,51
PT27A,C7,118
PT24B,D7,120
PT22B,B6,61
PT24A,E7,
PT22A,C6,122
PT20B,D6,124
PT18B,A6,59
PT20A,E6,
PT18A,A5,63
PT15B,B5,65
PT13B,D5,128
PT15A,C5,126
PT13A,E5,
PT11B,B4,69
PT9B,D4,132
PT11A,C4,130
PT9A,E4,136
PT6B,A4,67
PT4B,B3,73
PT6A,A3,71
PT4A,A2,75

